Format,Appearances,Example,Interpretation
cop. __ 🌕. __ i.e. __._.____,3,cop. 28 IX. 05 [i.e. 28.9.1905],1905-09-28
__/🌕 __ i.e. __._.____,3,31/I 09 [i.e. 31.1.1909],1909-01-31
__. 🌕. __,3,21. Sept. 76,1976-09-21
__ 🌕b __ i.e. __.__.____,3,27 Novb 66 [i.e. 27.11.1866],1866-11-27
A°. ____,3,[A°. 1729],1729
aufgenommen _ 🌕 ____,3,aufgenommen 1 Novbr 1860,1860-11-01
Sommer ____?,2,[Sommer 1837?],1837?
____ oder ____,2,[1842 oder 1843],1842
ca. ___-,2,[ca. 184-],1840?/1849?
__. 🌕y ____,2,20. Juny 1807,1807
____-____,2,1852-1853,1852/1853
____ 🌕y __,2,1844 July 31,1844
__ 🌕y ____,2,13 July 1844,1844
anno ____,2,a[nn]o 1711,1711
Schweiz,2,[Schweiz] ,
ca. ____-____,2,[ca. 1770-1780],1770/1780
le _. 🌕. ____,2,le 4. octobr. [17]82,1782-10-04
le __ 🌕. ____,2,le 15 Aost. 1783,1783-08-15
le _ 🌕. ____,2,le 1 Octobr. 1783,1783-10-01
den _. 🌕. ____,2,den 1. Jul. 1784,1784-07-01
____._.__,2,1784.9.14,1784-09-14
nach __. 🌕 ____,2,[nach 28. September 1792],1792-09-28
Pfingsten ____,2,Pfingsten 1880,1880
Den __ 🌕 ____,2,Den 16 Juli 1811,1811-07-16
_ / __ 🌕 ____,2,7 / 26 August 1859,1859-08-26
_ 🌕. __ i.e. _. __. ____,2,7 X. 89 [i.e. 7. 10. 1889],1889-10-07
__ 🌕 __ i.e. __. _. ____,2,14 Sept 81 [i.e. 14. 9. 1881],1881-09-14
_ 🌕 __ .i.e. _._.____,2,4 März 62 [.i.e. 4.3.1862],1862-03-04
aufgenommen __ 🌕 ____,2,aufgenommen 17 Oct 1861,1861-10-17
en 🌕. ____,2,en avr. 1817,1817-04
aufg. __ 🌕 __ i.e. __._.____,2,aufg. 29 Juni 59 [i.e. 29.6.1859],1859-06-29
_. 🌕 __ i.e. _._.____,2,2. Sept 61 [i.e. 2.9.1861],1861-09-02
Aufg __ 🌕 __ i.e. __._.____,2,Aufg 18 März 60 [i.e. 18.3.1860],1860-03-18
Herbst ____,2,Herbst 1889,1889
_/__ 🌕 ____,2,7/20 August 1859,1859-08-20
__ _ __ i.e. __._.____,2,25 4 73 [i.e. 25.4.1873],1873-04-25
__ / __ 🌕 __ i.e. __./__._.____,2,14 / 15 IX 92 [i.e. 14./15.9.1892],1892-09-15
__ i.e. ____,2,58 [i.e. 1858],1858
__._.____,2,23.6.1897,1897-06-23
_ 🌕 __ aufg. i.e. _._.____,2,4 April 60 aufg. [i.e. 4.4.1860],1860-04-04
Aufg _ 🌕 ____,2,Aufg 3 Juli 1859,1859-07-03
Anno ____,2,Anno 1751,1751
__ 🌕 ___ i.e. __._.____,2,26 III 904 [i.e. 26.3.1904],1904-03-26
Aufg. _ 🌕 ____,2,Aufg. 8 Juli 1859,1859-07-08
____/__,2,1896/97,1896/1897
🌕/🌕. ____,2,I/IV. 1904,1904-01
MDCC❓🌕 i.e. ____,2,MDCCXXI [i.e. 1721],1721
___-?,2,[175-?],1750?/1759?
_ 🌕. __ i.e. __._.____,2,2 Aug. 97 [i.e. 28.8.1897],1897-08-28
zwischen und ____ und ____,2,[zwischen und 1670 und 1712],1670/1712
am __. 🌕. ____,2,[am 29. Jan. 1891],1891-01-29
_ 🌕 i.e. _._.____,2,9 April [i.e. 9.4.1862],1862-04-09
_/_ 🌕 __ i.e. _./_.__.____,2,8/9 Nov 66 [i.e. 8./9.11.1866],1866-11-09
nach ____?,2,[nach 1740?],1740/
Aufgenommen __ 🌕b __ i.e. __.__.____,2,Aufgenommen 28 Octb 60 [i.e. 28.10.1860],1860-10-28
Aufgenommen _ 🌕 __ i.e. _._.____,2,Aufgenommen 8 Juli 60 [i.e. 8.7.1860],1860-07-08
_._.____,2,[8.7.1860],1860-07-08
den _ 🌕. ____,2,d[en] 8 Sep. [18]74,1874-09-08
__.🌕.____,2,27.IX.1874,1874-09-27
🌕. __.,1,Febr. 36.,1936-02
ca. ___-?,1,[ca. 183-?],1830?/1839?
🌕/🌕 ____,1,[Februar/März 1740],1740-02
ca. __--,1,[ca. 18--],1800?/1899?
__. ¢?,1,[19. Jahrhundert?],18XX
le _ 🌕 ____ -,1,le 2 Aout 1844 -,1844-08-02
____ 🌕,1,1844 Septbr,1844
🌕y __ = ____,1,July 31 = 1844,1844
le __. 🌕y ____,1,le 12. July 1844,1844
ca. ____/__,1,[ca. 1835/36],1835/1836
Di. __.t 🌕. ____,1,Di. 16.t Febr. 1835,1835-02-16
🌕 ____?,1,[Oktober 1841?],1841-10~
zwischen ____ - ____?,1,[zwischen 1770 - 1790?],1770/1790
nicht nach ____,1,[nicht nach 1895],/1895
le _ 🌕. ____ __h. matin,1,le 3 Aust. 1787 11h. m[atin],1787-08-03
ca. ____/____,1,[ca. 1515/1516],1515/1516
zwischen ____ und vor ____?,1,[zwischen 1847 und vor 1856?],1847?
Samstag _. 🌕 ____,1,Samstag 6. May 1854,1854-05-06
__._.____?,1,21.1.[17]83?,1783-01-21
vermutlich um ____,1,[vermutlich um 1856],1856?
le 🌕. ____,1,le 7br. 1784,1784-09
le __._.____,1,le 13.7.1785,1785-07-13
... 🌕 ____,1,[...] März [18]62,1862-03
den __._.____ um _ Uhr dess Morgens,1,den 17.8.1785 um 9 Uhr dess Morgens,1785-08-17
den __._.____ um __ Uhr des Morgens,1,den 20.8.1785 um 10 Uhr des Morgens,1785-08-20
le __.__.____,1,le 18.11.1786,1786-11-18
le _ 🌕 ____ ... à _ hrs.,1,le 4 October 1787 ... à 2 hrs.,1787-10-04
den __ten 🌕: ____,1,den 23ten Dec: 1817,1817
dn __. 🌕. ____,1,dn 28. 7br. 1792,1792-09-28
d. _. 🌕. ____,1,d. 5. 8br. 1792,1792-10-05
im 🌕 ____,1,im 9br 1792,1792-11
den 🌕. ____,1,den Augst. 1794,1794-08
Den __ 🌕. ____,1,Den 24 Augst. 1805,1805-08-24
Den __. 🌕. ____,1,Den 28. Jul. 1812,1812-07-28
Den . . ____,1,Den . . 1814,1814
_... 🌕 ____,1,2[...] Aug [18]61,1861-08-02
__ / __ 🌕 ____,1,22 / 29 Aug [18]59,1859-08-29
__ / __ 🌕. ____,1,22 / 30 Aug. [18]59,1859-08-30
... ____,1,[...] 1872,1872
Charfreitag __ 🌕 ____,1,Charfreitag 13 April 1900,1900-04-13
_ 🌕 __ i.e._.__.____,1,7 X 89 [i.e.7.10.1889],1889-10-07
aufgen. __ 🌕 __ i.e. __._.____,1,aufgen. 11 Sept 59 [i.e. 11.9.1859],1859-09-11
__ 🌕 __ sowie am rechten Bildrand __ 🌕 __ i.e. __._. bzw. __.__.____,1,[11] Sept 59 sowie am rechten Bildrand 24 Oct 59 [i.e. 11.9. bzw. 24.10.1859],1859-10-24
den __. 🌕. ____ gzcht,1,den 22. Jul. 1820 gzcht,1820-07-22
__ 🌕... __ __.__.____,1,17 Oct[...] 61 [17.10.1861],1861-10-17
__ 🌕 __ / __ 🌕 __ i.e. __._. bzw. __.__.____,1,11 Sept 59 / 21 Oct 59 [i.e. 11.9. bzw. 21.10.1859],1859-10-21
genau gezeichnet. __ 🌕 ____,1,genau gezeichnet. 24 Juni 1860,1860-06-24
en 🌕 ____,1,en May 1817,1817-05
__ 🌕 __ ziemlich genau i.e. __._.____,1,30 V 89 ziemlich genau [i.e. 30.5.1889],1889-05-30
"Am Auffahrtstage ____, __ 🌕",1,"Am Auffahrtstage 1889[,] 30 Mai",1889
en 🌕l. ____,1,en avrl. 1817,1817
en 🌕l ____,1,en avrl 1817,1817
circa ____?,1,[circa 1710?],1710?
Mei ____,1,Mei 1780,1780
le __ d'av. ____,1,le 20 d'av. [17]84,1784
le __._.____ à __h.,1,le 21.7.1785 à 12h.,1785-07-21
le __._.____. à __ heures du matin,1,le 31.7.1785. à 11 heures du matin,1785-07-31
le _ 🌕 ____ à _h. s.,1,le 1 aoust 1785 à 5h. s.,1785-08-01
le _ 🌕 ____ à _h. du soir,1,le 5 aoust 1785 à 3h. du soir,1785-08-05
le __._.____. à _.h. du matin,1,le 11.8.1785. à 6.h. du matin,1785-08-11
le __._.____. à __h. du matin,1,le 10.8.1785. à 10h. du matin,1785-08-10
_/_ 🌕 __ i.e. _._. 🌕 ____,1,4/5 April 61 [i.e. 4.5. April 1861],1861-04-05
den __._.____ __. Uhr,1,den 25.8.1785 10. [Uhr],1785-08-25
den __. 🌕 ____ abends um _ Uhr,1,den 25. Augst 1785 abends um 3 Uhr,1785-08-25
le __. 🌕 ____ à _h. du soir,1,le 23. mars 1786 à 4h. du soir,1786-03-23
le __. 🌕. ____. à _h. soir,1,le 24. avr. 1786. à 6h. s[oir],1786-04-24
le __. av. ____. __h. matin,1,le 25. av. 1786. 10h. m[atin],1786
le __. 🌕 ____. _h. ssoir,1,le 12. May 1786. 4h. s[soir],1786-05-12
le __. 🌕 ____. _h. soir,1,le 18. juin 1786. 6h. s[oir],1786-06-18
le __ 🌕v. ____. à __h. matin,1,le 14 janv. 1787. à 11h. m[atin],1787
le _. _ber ____ à _. heures du soir,1,le 4. 8ber 1787 à 3. [heures du] s[oir],1787
__/__. 🌕. __ i.e. __./__._.____,1,18/19. II. 99 [i.e. 18./19.2.1899],1899-02-19
Travaillé le __ 🌕 ____,1,Travaillé le 25 Juin 1849,1849-06-25
le _. 🌕l ____,1,le 1. avrill 1788,1788
den __. 🌕l ____,1,den 20. Aprill 1788,1788
_ 🌕 __ i.e._._.____,1,2 Sept 61 [i.e.2.9.1861],1861-09-02
gez. den __. 🌕. ____. gemalt den __ 🌕 ____,1,gez. den 16. Sept. 1872. gemalt den 17 Februar 1873,1872-09-16
Ostersamstag __ 🌕 ____,1,Ostersamstag 15 IV 1900,1900-04-15
_. 🌕 ____.,1,7. Juli [18]91.,1891.-07-07
____. ad. nat.,1,1813. ad. nat.,1813
__/_ 🌕 ____,1,27/8 Sept 1911,1911-09-08
_ 🌕. __ _._.____,1,8 Sept. 11 [8.9.1911],1911-09-08
_. 🌕. __ i.e. ____,1,3. Nov. 61 [i.e. 1861],1861-11-03
Montag den __. 🌕. __ i.e. ____,1,Montag den 30. Sept. 67 [i.e. 1867],1867-09-30
aufgenommen den __. 🌕 ____,1,aufgenommen den 15. Juni 1865,1865-06-15
Montag den __. 🌕 ____,1,Montag den 13. März 1871,1871-03-13
Montag den _. 🌕 ____,1,Montag den 6. März 1871,1871-03-06
Donnerstag den _. 🌕 ____,1,Donnerstag den 9. März 1871,1871-03-09
Donnerstag den __. 🌕 ____,1,Donnerstag den 13. April 1871,1871-04-13
gez. den __ 🌕 ____ fertig gemalt den __. 🌕 __,1,gez. den 16 Sept 1872 fertig gemalt den 13. May 73,1872-09-16
🌕 br ____,1,Sept br 1903,1903
__ 🌕y __ i.e. __._.____,1,20 July 61 [i.e. 20.7.1861],1861-07-20
aufgen _ 🌕 ____,1,[aufgen 9 May 1861],1861-05-09
🌕 __ i. e. 🌕 ____,1,Mai 86 [i. e. Mai 1886],1886-05
A°. anno ____,1,A°. [anno] 1706,1706
ad. nat. __.__.____.,1,ad. nat. 18.11.1818.,1818-11-18
____ ad. nat.,1,1813 ad. nat.,1813
den __ 🌕 🌕 ____,1,den 10 Mars [März] 1811,1811-03
__ / __ 🌕 __ i.e. __./__.__.____,1,16 / 19 Oct 59 [i.e. 16./19.10.1859],1859-10-19
__ 🌕em ____,1,27 [Novem] 1874,1874
__ 🌕 __ aufg i.e. __._.____,1,18 März 60 aufg [i.e. 18.3.1860],1860-03-18
aufgen __ 🌕 __ i.e. __._.____,1,aufgen 31 Juli 59 [i.e. 31.7.1859],1859-07-31
Am Ostersonntag ____,1,Am Ostersonntag [18]83,1883
"den __ 🌕 ____, morgens",1,"den 14 Augst 1793, morgens",1793-08-14
_ 🌕b ____,1,8 Novb 1859,1859
_ / __ 🌕. ____,1,7 / 23 Aug. 1859,1859-08-23
__ 🌕 __ i.e.__._.____,1,30 IX 92 [i.e.30.9.1892],1892-09-30
_. 🌕 __ aufg. i.e. _._.____,1,4. April 60 aufg. [i.e. 4.4.1860],1860-04-04
__ 🌕 __ genau i.e. __._.____,1,22 Mai 89 genau [i.e. 22.5.1889],1889-05-22
Palmsonntag __ 🌕 __ i.e. __._.____,1,Palmsonntag 22 III 91 [i.e. 22.3.1891],1891-03-22
__ 🌕b. ____,1,27 Octb. 1861,1861
Pfingstsonntag _ 🌕. __ i.e. _._.____,1,Pfingstsonntag 5 VI. 92 [i.e. 5.6.1892],1892-06-05
ca ____,1,ca 1853,1853?
__ 🌕 __ i.e. __ 🌕 __,1,26 IX 87 [i.e. 26 IX 87],1987-09-26
ca. vor ____,1,[ca. vor 1878],1878?
Ostermontag _ 🌕. ____ i.e. _._.____,1,Ostermontag 8 IV. 1901 [i.e. 8.4.1901],1901-04-08
Aufg. __ 🌕 ____,1,Aufg. 31 März 1860,1860-03-31
cop. 🌕 ____,1,cop. Maerz 1884,1884-03
__/__ 🌕 __,1,20/21 Sept 81,1981-09-21
Aufg. __ 🌕. __ i.e. __._.____,1,Aufg. 19 Sept. 58 [i.e. 19.9.1858],1858-09-19
_.__.__.__ i.e. ? ____,1,2.11.20.86 [i.e. [?] 1886],0020-11-02
aufg. _ 🌕 ____,1,aufg. 8 Juli 1859,1859-07-08
Aufg._ 🌕 __ i.e. _._.____,1,Aufg.9 Juli 59 [i.e. 9.7.1859],1859-07-09
ca. ____ und ____,1,[ca. 1890 und 1904],1890/1904
Aufge __ 🌕 __ i.e. __._.____,1,Aufge 21 April 60 [i.e. 21.4.1860],1860-04-21
_ 🌕 __ aufg i.e. _._.____,1,8 Juli 59 aufg [i.e. 8.7.1859],1859-07-08
___? i.e. zwischen ____ und ____,1,186? [i.e. zwischen 1860 und 1869],1860/1869
__ 🌕 __ i.e.____,1,13 April 60 [i.e.1860],1860-04-13
Aufg. _ 🌕 __ i.e. _._.____,1,Aufg. 7 Juli 59 [i.e. 7.7.1859],1859-07-07
A. ____,1,A. 1897,1897
Sptbr. ____,1,Sptbr. 1907,1907
🌕. __ 🌕 ____,1,Sept. 07 [September 1907],1907-09-07
__/__ 🌕 __ i.e. __./.__._.____,1,22/24 VIII 08 [i.e. 22./.24.8.1908],1908-08-24
Revidirt _ 🌕 ____,1,Revidirt 7 Sept 1906,1906-09-07
_/_ 🌕. ____ _ 🌕. ____,1,5/6 IV. 1903 7 IX. [19]06,1903-04-06
_ 🌕 ca. ____,1,4 Sept [ca. 1904],1904?
____. __ 🌕 ____,1,1904. 14 VIII 1905,1904-08-14
__ 🌕 / _ 🌕. ____,1,29 Aug / 1 Sept. 1905,1905-08-01
_ 🌕.__ i.e. _._.____,1,8 VIII.05 [i.e. 8.8.1905],1905-08-08
_/__ 🌕. __ i.e. _./__._.____,1,9/10 Aug. 05 [i.e. 9./10.8.1905],1905-08-10
__/__ 🌕 ____ in diebus annocnis,1,21/22 Aug 1903 in diebus [annocnis],1903-08-22
Ostermontag bei Regen _ 🌕 ___ i.e. _._.____,1,Ostermontag bei Regen 4 IV 904 [i.e. 4.4.1904],1904-04-04
Sonntag _ 🌕 ____,1,Sonntag 4 Oct 1903,1903-10-04
_ 🌕. ___ i.e. _.__.____,1,3 X. 903 [i.e. 3.10.1903],1903-10-03
__ 🌕 / _.🌕. __ i.e. __._./_._.____,1,19 VIII / 5.IX. 06 [i.e. 19.8./5.9.1906],1906-09-05
_ __ __ i.e. _.__.____,1,2 10 91 [i.e. 2.10.1891],1891-10-02
"_ 🌕 __ oben, _ 🌕 __ unten, i.e. _._. bzw. _._.____",1,"5 Aug 94 [oben], 4 Aug 94 [unten], [i.e. 8.5. bzw. 4.8.1894]",1894-08-04
cop __ 🌕. __ i.e. __._.____,1,cop 29 IX. 05 [i.e. 29.9.1905],1905-09-29
aufgen. _ 🌕 ____,1,aufgen. 8 Juli 1859,1859-07-08
__ 🌕 __ bei __° Celsius i.e. __._.____,1,18 VIII 92 bei 30° Celsius [i.e. 18.8.1892],1892-08-18
__ 🌕 __ bei __° Celsius! i.e. __._.____,1,18 VIII 92 bei 32° Celsius! [i.e. 18.8.1892],1892-08-18
zwischen ____ und ___,1,[zwischen 1860 und 110],1110/1860
__ 🌕 / _ 🌕 ____,1,22 VIII / 6 IX 1904,1904-08-06
_/__ 🌕 __ i.e. _./__._.____,1,7/12 IX 04 [i.e. 7./12.9.1904],1904-09-12
_/_ 🌕 __ i.e. _./._.__.____,1,1/2 X 93 [i.e. 1./.2.10.1893],1893-10-02
Charfreitag ____,1,Charfreitag 1904,1904
...ion 🌕. ____,1,[...ion] III. 1904,1904-01
_/_. 🌕. __ i.e. _./_._.____,1,6/7. IX. 05 [i.e. 6./7.9.1905],1905-09-07
🌕on ihm gezeichnet ____,1,Von ihm gezeichnet 1896,1896
_ & _ 🌕 ____,1,2 & 4 April 1894,1894-04-04
Ao. Anno ____,1,Ao. [Anno] 1779,1779
Aufgenommen __ 🌕 __ i.e. __.__.____,1,Aufgenommen 21 Octbr 60 [i.e. 21.10.1860],1860-10-21
Cop. 🌕. ____,1,Cop. Aug. 1895,1895-08
M.D. L❓🌕. i.e. ____,1,[M.D.] LXXII. [i.e. 1572],1572
🌕 __ 🌕 ____,1,Aug 95 [August 1895],1895-08
Aufg _ 🌕 ____ __ 🌕,1,Aufg 3 October 1858 16 Nov,1858-10-03
Ostersonntag ____,1,Ostersonntag 1869,1869
cop. ____,1,cop. 1896,1896
M. D. L🌕. i.e. ____,1,M. D. LVI. [i.e. 1556],1556
M DC C🌕🌕. i.e. ____,1,M DC CXVII. [i.e. 1717],1717
MDC🌕C🌕 i.e ____,1,MDCXCVI [i.e 1696],1696
Sonntag __ 🌕 ____,1,Sonntag 22 Maerz 1896,1896-03-22
__. _ __ i.e. __._.____,1,22. 3 96 [i.e. 22.3.1896],1896-03-22
vor _. 🌕 ____,1,[vor 3. Juli 1783],1783-07-03
_ 🌕b. __ i.e. _.__.____,1,2 Novb. 62 [i.e. 2.11.1862],1862-11-02
Ende 🌕 ____,1,Ende Januar 1909,1909-01
🌕-🌕 ____,1,Febr-März 1909,1909-02
__. _er ____,1,16. 8er 1788,1788
gem. __.🌕.____,1,gem. 22.II.[18]68,1868-02-22
gez. d. 🌕. 🌕. ____ ; gem. d. 🌕. ____,1,gez. d. II. Nov. 1850 ; gem. d. III. 1868,1850-11
zwischen __. 🌕. __ und __ 🌕. __ i.e. zwischen __._. und __._.____,1,zwischen 23. VI. 97 und 30 VI. 97 [i.e. zwischen 23.6. und 30.6.1897],1897-06-30
__ u __ 🌕 ____,1,16 u 23 Juni 1897,1897-06-23
am __. 🌕 ____,1,[am 11. März 1891],1891-03-11
Die __. 🌕is ____,1,Die 15. Octobris 1772,1772
den __ 🌕. __,1,den 12 Aug. 82,1982-08-12
🌕y. ____,1,Jany. 1809,1809
_ 🌕 __ und __. 🌕 i.e. _._. und __._.____,1,9 April 62 und 10. April [i.e. 9.4. und 10.4.1862],1862-04-10
Ao. ____.,1,[Ao. 1792.],1792
🌕.🌕.____,1,II.X.[18]46,1846-02
__.🌕./__.🌕.____,1,17.II.[/]25.III.1833,1833-02-25
__.🌕.____ ; __.🌕.____,1,28.II.[18]33 ; 22.IV.[18]38,1833-02-28
__ 🌕b __ i.e. __._.____,1,28 Septb 63 [i.e. 28.9.1863],1863-09-28
"__ 🌕 __ _/_ _ Uhr abd. i.e. __._.____, __.__ Uhr",1,"14 Mai 64 1/2 5 Uhr abd. [i.e. 14.5.1864, 16.30 Uhr]",1864-05-14
"__ 🌕 __ _ Uhr __ Min i.e. __._.____, _.__ Uhr",1,"14 Mai 64 6 Uhr 10 Min [i.e. 14.5.1864, 6.10 Uhr]",1864-05-14
zwischen ____ ud ____?,1,[zwischen 1675 ud 1713?],1675/1713
_. 🌕. __ _._.____,1,6. VIII. 93 [6.8.1893],1893-08-06
__. 🌕. __ i.e. ____,1,22. VIII. 93 [i.e. 1893],1893-08-22
__. 🌕. __ __._.____,1,27. VIII. 93 [27.8.1893],1893-08-27
🌕. i.e. 🌕 ____,1,Nov. [i.e. November 1863],1863-11
____ ?,1,[1843 ?],1843?
Sonnabend __ 🌕 __ i.e. __._.____,1,Sonnabend 11 May 67 [i.e. 11.5.1867],1867-05-11
__/🌕. __ i.e. __._.____,1,21/V. 67 [i.e. 21.5.1867],1867-05-21
__.__.____,1,[20.10.1866],1866-10-20
_ 🌕b __ i.e. _.__.____,1,8 Novb 66 [i.e. 8.11.1866],1866-11-08
__ 🌕 __ (nach Laspeyres) i.e. __.__.____,1,25 Nov 66 (nach Laspeyres) [i.e. 25.11.1866],1866-11-25
__. 🌕 __ i.e. __.__.____,1,22. XII 66 [i.e. 22.12.1866],1866-12-22
zwischen ____ und und ____?,1,[zwischen 1640 und und 1689?],1640?
____ aetat. im Alter von __,1,1668 aetat. [im Alter von] 15,1668
🌕 🌕 __ i.e. _._.____,1,II Maerz 67 [i.e. 2.3.1867],1867-03-02
Aufg. _ 🌕. __ i.e. _.__.____,1,Aufg. 6 Oct. 60 [i.e. 6.10.1860],1860-10-06
__ 🌕 ____. ... ad. nat.,1,29 Merz 1813. [...] ad. nat.,1813-03-29
Aufgenommen _/_ 🌕. __ i.e. _./_._.____,1,Aufgenommen 6/7 Sept. 60 [i.e. 6./7.9.1860],1860-09-07
Aufgenommen __ 🌕b ____,1,Aufgenommen 28 Octb 1860,1860
"genau gezeichnet, aufgenommen __ 🌕 ____",1,"genau gezeichnet, aufgenommen 28 October 1860",1860-10-28
Aufgenommen __ 🌕. ____,1,Aufgenommen 28 Octob. 1860,1860-10-28
"Aufgenommen __ 🌕 __ oben, aufgenommen __ 🌕 __ unten i.e. __. bzw. __.__.____",1,"Aufgenommen 21 Oct 60 [oben], aufgenommen 28 Oct 60 [unten] [i.e. 21. bzw. 28.10.1860]",1860-10-28
__.-__._.____?,1,[16.-18.6.1655?],1655-06-18
aufgen. _ 🌕 __ i.e. _._.____,1,aufgen. 8 Juli 60 [i.e. 8.7.1860],1860-07-08
Aufgenommen am __ 🌕 __ i.e. __._.____,1,Aufgenommen am 17 Aug 60 [i.e. 17.8.1860],1860-08-17
__ten 🌕 ____,1,21ten Juni 1839,1839-06
... __._.____,1,[...] 14.6.[18]63,1863-06-14
den __t 🌕 ____,1,d[en] 12t Sept 1848,1848-09-12
den __ten 🌕us ____,1,d[en] 15ten Julius 1839,1839
den __ ... ____,1,d[en] 20 [...] [18]44,1844
den _ ten 🌕 ____,1,d[en] 3 ten Juli 1839,1839-07
den __ ten 🌕us ____,1,d[en] 13 ten Julius 1839,1839
den ... ten 🌕us ____,1,d[en] [...] ten Julius 1839,1839
den _ten 🌕 ____,1,d[en] 9ten Juni 1839,1839-06
____ ____,1,1694 [1693],1694
__ S. ____,1,21 S. [18]74,1874
den _ ... 🌕. ____,1,d[en] 2 [...] Sep. [18]74,1874-09-02
den __ten 🌕 ____,1,d[en] 19ten Juli 1839,1839-07
