Format;Appearances;Example;Interpretation;inaccurate;wrong;notes
Den __ ? ____;2;Den 16 Juli 1811;1811-07-16;;;
_ / __ ? ____;2;7 / 26 August 1859;1859-08-26;x;;
_ ?. __ i.e. _. __. ____;2;7 X. 89 [i.e. 7. 10. 1889];1889-10-07;;;
__ ? __ i.e. __. _. ____;2;14 Sept 81 [i.e. 14. 9. 1881];1881-09-14;;;
_ ? __ .i.e. _._.____;2;4 März 62 [.i.e. 4.3.1862];1862-03-04;;;
aufgenommen __ ? ____;2;aufgenommen 17 Oct 1861;1861-10-17;;;
en ?. ____;2;en avr. 1817;1817-04;;;
aufg. __ ? __ i.e. __._.____;2;aufg. 29 Juni 59 [i.e. 29.6.1859];1859-06-29;;;
_. ? __ i.e. _._.____;2;2. Sept 61 [i.e. 2.9.1861];1861-09-02;;;
Aufg __ ? __ i.e. __._.____;2;Aufg 18 März 60 [i.e. 18.3.1860];1860-03-18;;;
Herbst ____;2;Herbst 1889;1889;x;-;
_/__ ? ____;2;7/20 August 1859;1859-08-20;x;;
__ _ __ i.e. __._.____;2;25 4 73 [i.e. 25.4.1873];1873-04-25;;;
__ / __ ? __ i.e. __./__._.____;2;14 / 15 IX 92 [i.e. 14./15.9.1892];1892-09-15;x;;
__ i.e. ____;2;58 [i.e. 1858];1858;;;
__._.____;2;23.6.1897;1897-06-23;;;
_ ? __ aufg. i.e. _._.____;2;4 April 60 aufg. [i.e. 4.4.1860];1860-04-04;;;
Aufg _ ? ____;2;Aufg 3 Juli 1859;1859-07-03;;;
Anno ____;2;Anno 1751;1751;;;
__ ? ___ i.e. __._.____;2;26 III 904 [i.e. 26.3.1904];1904-03-26;;;
Aufg. _ ? ____;2;Aufg. 8 Juli 1859;1859-07-08;;;
____/__;2;1896/97;1896/1897;;;
?/?. ____;2;I/IV. 1904;1904-01;x;;
MDCC?? i.e. ____;2;MDCCXXI [i.e. 1721];1721;;;
___-?;2;[175-?];1750?/1759?;;;
_ ?. __ i.e. __._.____;2;2 Aug. 97 [i.e. 28.8.1897];1897-08-28;x;;
zwischen und ____ und ____;2;[zwischen und 1670 und 1712];1670/1712;;;
am __. ?. ____;2;[am 29. Jan. 1891];1891-01-29;;;
_ ? i.e. _._.____;2;9 April [i.e. 9.4.1862];1862-04-09;;;
_/_ ? __ i.e. _./_.__.____;2;8/9 Nov 66 [i.e. 8./9.11.1866];1866-11-09;x;;
nach ____?;2;[nach 1740?];1740/;;;
